b_lam,b_xw,sc_s_key,sc_lam_key,C,power,r_squared
0.1,0.335,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.335,x,no,1.634370033861158,0.6356753521800261,0.983445365349797
0.1,0.335,x,D,1.5785168558819629,0.6867326132635659,0.9998920278287375
0.1,0.335,x,mixed,0.8869608839287795,0.9394518601231087,0.9993590409845158
0.1,0.335,x,beta,0.9164376165719049,0.8799131347694703,0.9994482597526231
0.1,0.335,w,no,2.3380979625673746,0.6180176704861936,0.999892980460908
0.1,0.335,w,D,1.4081802470511662,0.8328516517412182,0.9988921446339682
0.1,0.335,w,mixed,0.8617464821777318,1.049352187062238,0.9992852127332613
0.1,0.335,w,beta,0.30582010719097563,1.5394523348137614,0.9659787561571734
0.1,0.335,xw,no,2.19410004318457,0.8555394621296664,0.9999774242855678
0.1,0.335,xw,D,1.5736603081098923,1.0,1.0
0.1,0.335,xw,mixed,1.1074357001883992,1.1575832256308256,0.9991778770371724
0.1,0.335,xw,beta,0.6477725742306596,1.4061524269276404,0.9943001969830902
0.1,0.36000000000000004,,no,2.4885976858218966,0.0,0.0
0.1,0.36000000000000004,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.36000000000000004,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.36000000000000004,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.36000000000000004,x,no,1.639987614607248,0.6645769903631789,0.9862065553417425
0.1,0.36000000000000004,x,D,1.6218712913193358,0.7018290225628091,0.9998843056161192
0.1,0.36000000000000004,x,mixed,0.9368331882477547,0.9428766953496828,0.999436707944488
0.1,0.36000000000000004,x,beta,0.9656932482441472,0.8873144607519162,0.9995125709116954
0.1,0.36000000000000004,w,no,2.4380482236702457,0.62014519984666,0.9998547195022364
0.1,0.36000000000000004,w,D,1.458369297513381,0.8400517323490237,0.9989961056169904
0.1,0.36000000000000004,w,mixed,0.9139293713253471,1.046105324385697,0.99924361254371
0.1,0.36000000000000004,w,beta,0.32783221301784726,1.5334741109999002,0.9679531662454837
0.1,0.36000000000000004,xw,no,2.3364082877272594,0.8547351252473866,0.9999840736699438
0.1,0.36000000000000004,xw,D,1.6752578597983359,1.0,1.0
0.1,0.36000000000000004,xw,mixed,1.2066022026304155,1.1470909526664061,0.999214428284603
0.1,0.36000000000000004,xw,beta,0.7132392661698078,1.3923139594724914,0.9944612193778576
0.1,0.385,,no,2.4885976858218966,0.0,0.0
0.1,0.385,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.385,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.385,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.385,x,no,1.6516325550965365,0.6900340535463229,0.9884843622134591
0.1,0.385,x,D,1.6658650161960888,0.715563868351119,0.9998790622345527
0.1,0.385,x,mixed,0.9867609126126798,0.9459286135190612,0.9995009699776617
0.1,0.385,x,beta,1.014977323680836,0.893870355638011,0.9995698115659859
0.1,0.385,w,no,2.5318157157747385,0.6231302448477798,0.9997777779784848
0.1,0.385,w,D,1.5082471352480966,0.846671374789472,0.9990849821173475
0.1,0.385,w,mixed,0.9666397966625581,1.042756864730094,0.9992739235331075
0.1,0.385,w,beta,0.3517861726934594,1.525159192081523,0.9696172568651054
0.1,0.385,xw,no,2.47601097509274,0.8543550907515017,0.9999891354265298
0.1,0.385,xw,D,1.7764946090784859,1.0,1.0
0.1,0.385,xw,mixed,1.306948722212853,1.1374225964468068,0.9993191858082913
0.1,0.385,xw,beta,0.7781938855557946,1.3807151666811315,0.9944070044995393
0.1,0.41000000000000003,,no,2.4885976858218966,0.0,0.0
0.1,0.41000000000000003,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.41000000000000003,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.41000000000000003,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.41000000000000003,x,no,1.668434707754468,0.7124682359463944,0.990359408916958
0.1,0.41000000000000003,x,D,1.7104169953327868,0.7281061704372682,0.9998758845095465
0.1,0.41000000000000003,x,mixed,1.036530455423695,0.9487666393994011,0.9995561099643075
0.1,0.41000000000000003,x,beta,1.0642835523510399,0.8997386353127083,0.9996183408986361
0.1,0.41000000000000003,w,no,2.6201913600581532,0.6267760432082261,0.9996748661395288
0.1,0.41000000000000003,w,D,1.557902781953549,0.8527782099909672,0.9991617777414943
0.1,0.41000000000000003,w,mixed,1.018857553028085,1.0398963895047315,0.9993172702106301
0.1,0.41000000000000003,w,beta,0.37534438358508343,1.5182272623561661,0.9707697603834696
0.1,0.41000000000000003,xw,no,2.613004355744056,0.8543479531850491,0.9999922340854006
0.1,0.41000000000000003,xw,D,1.8774531649065513,1.0,1.0
0.1,0.41000000000000003,xw,mixed,1.4067547750136158,1.1291123201241335,0.9993915339578648
0.1,0.41000000000000003,xw,beta,0.8454949705058123,1.3692012471099941,0.994540917328234
0.1,0.43500000000000005,,no,2.4885976858218966,0.0,0.0
0.1,0.43500000000000005,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.43500000000000005,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.43500000000000005,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.43500000000000005,x,no,1.6896424760385027,0.7322674601715159,0.9919019082276217
0.1,0.43500000000000005,x,D,1.7554571615355252,0.7396003978971226,0.999874366802344
0.1,0.43500000000000005,x,mixed,1.0863774415142546,0.9513003272235349,0.9996016013819223
